id,name,description,category,image_width,aspect_ratio,absolute_safe_ids,relative_safe_ids,camera_model
49,Medium Format Leaf Afi/75 Aptus™ 75s 54s 75 22 Backs,Medium Format Leaf Afi/75 Aptus™ 75s 54s 75 22 Backs,Photography,48.006,1.33
50,Medium Format Mamiya® ZD Digital Back,Medium Format Mamiya® ZD Digital Back,Photography,48.006,1.33
51,Medium Format Phase One® P20+ Digital Backs,Medium Format Phase One® P20+ Digital Backs,Photography,36.906,1.00
52,Medium Format Phase One® P30+ P21+ Digital Backs,Medium Format Phase One® P30+ P21+ Digital Backs,Photography,44.196,1.34
53,Medium Format Phase One® P45+ P25+ Digital Backs,Medium Format Phase One® P45+ P25+ Digital Backs,Photography,49.098,1.33
54,Nikon®/Pentax®/Sony® APS-C,Nikon®/Pentax®/Sony® APS-C,Photography,22.600,1.44
55,Sigma Foveon®,Sigma Foveon®,Photography,20.700,1.50
56,1/1.7 Sensor 4:3,1/1.7 Sensor 4:3,Digital,7.600,1.33,,73
57,1/1.8 Sensor 4:3,1/1.8 Sensor 4:3,Digital,7.180,1.35,,73
58,1/2.5 Sensor 4:3,1/2.5 Sensor 4:3,Digital,5.760,1.34,,73
59,1/2 Sensor 16:9,1/2 Sensor 16:9,Digital,6.960,1.78,,72
60,1/3 Sensor 16:9,1/3 Sensor 16:9,Digital,5.232,1.78,,72
61,1/4 Sensor 16:9,1/4 Sensor 16:9,Digital,3.912,1.77,,72
62,2/3 Video 2.40 Extracted area,2/3 Video 2.40 Extracted area,Digital,9.119,2.39
63,2/3 Video Sensor area,2/3 Video Sensor area,Digital,9.601,1.78,62
64,ALEXA ARRIRAW®,ALEXA ARRIRAW®,Digital/ARRI®,23.760,1.78
65,ARRIFLEX® D-21 HD Mode,ARRIFLEX® D-21 HD Mode,Digital/ARRI®,23.760,1.78
66,ALEXA® Monitoring/EVF,ALEXA® Monitoring/EVF,Digital/ARRI®,26.136,1.78
67,ARRI ALEV III® Full CCD Area,ARRI ALEV III® Full CCD Area,Digital/ARRI®,23.760,1.33,,73
68,IMAX© Camera Aperture,IMAX© Camera Aperture,IMAX©,70.410,1.34,69|70|71
69,IMAX© Projection Aperture,IMAX© Projection Aperture,IMAX©,69.600,1.44,70|71
70,IMAX© 1.85 Safe,IMAX© 1.85 Safe,IMAX©,69.600,1.85
71,IMAX© 2.39 Safe,IMAX© 2.39 Safe,IMAX©,69.600,2.39
72,SDTV 4:3,SDTV 4:3,Mask,0.000,1.33
73,HDTV 16:9,HDTV 16:9,Mask,0.000,1.78
74,Phantom Flex® & V640 Sensor Size 2560 x 1600,Phantom Flex® & V640 Sensor Size 2560 x 1600,Digital/Vision Research®,25.600,1.78
75,Phantom Flex® & V640 2560 x 1440 16:9,Phantom Flex® & V640 2560 x 1440 16:9,Digital/Vision Research®,25.600,1.78
76,Phantom Flex® & V640 1920 x 1080 16:9,Phantom Flex® & V640 1920 x 1080 16:9,Digital/Vision Research®,19.200,1.78
77,Phantom Flex® & V640 1280 x 720 16:9,Phantom Flex® & V640 1280 x 720 16:9,Digital/Vision Research®,12.800,1.78
